Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Craterhoof Behemoth (Foil Etched)","Commander Masters","M","556","Green","Near Mint Foil","1"
"Darksteel Mutation (Borderless)","Commander Masters","U","623","White","Near Mint Foil","2"
"Day's Undoing (Foil Etched)","Commander Masters","R","486","Blue","Near Mint Foil","1"
"Guttersnipe","Commander Masters","C","229","Black;Blue;Green;White;Colorless","Near Mint Foil","2"
"Haunted Cloak","Commander Masters","C","389","Colorless","Near Mint Foil","1"
"Loyal Retainers (Foil Etched)","Commander Masters","M","465","White","Near Mint Foil","1"
"Mikaeus, the Unhallowed (Borderless)","Commander Masters","M","675","Black","Near Mint Foil","1"
"Reality Shift (Borderless)","Commander Masters","U","634","Blue","Near Mint Foil","1"
"Vault of Champions (Foil Etched)","Commander Masters","R","621","Colorless","Near Mint Foil","1"
"Darksteel Plate","Double Masters 2022","R","304","Colorless","Near Mint Foil","1"
"Dragonlord Silumgar","Double Masters 2022","M","203","Black;Blue","Near Mint Foil","1"
"Elenda, the Dusk Rose (Borderless)","Double Masters 2022","M","377","Black;White","Near Mint Foil","1"
"Golgari Rot Farm","Double Masters 2022","U","324","Colorless","Near Mint Foil","1"
"Inquisition of Kozilek","Double Masters 2022","U","80","Black","Near Mint Foil","1"
"Expedition Map (Borderless)","Double Masters","R","359","Colorless","Near Mint Foil","1"
"Choking Tethers","Masters 25","C","48","Blue","Near Mint Foil","1"
"Peregrine Drake","Eternal Masters","C","64","Blue","Near Mint Foil","1"
"Peppersmoke","Modern Masters","C","92","Black","Near Mint Foil","1"
"Fanatic of Rhonas (Extended Art)","Modern Horizons 3","R","458","Green","Near Mint Foil","1"
"Sapphire Medallion","Modern Horizons 3","R","296","Colorless","Near Mint Foil","1"
"Lonis, Cryptozoologist","Modern Horizons 2","R","204","Blue;Green","Near Mint Foil","1"
"Chromatic Lantern (Retro Frame)","Ravnica Remastered","R","390","Colorless","Near Mint Foil","1"
"Golgari Guildgate (Retro Frame)","Ravnica Remastered","C","402","Colorless","Near Mint Foil","2"
"Izzet Charm","Ravnica Remastered","U","190","Blue;Red","Near Mint Foil","2"
"Dark Depths (Borderless)","Dominaria Remastered","M","454","Colorless","Near Mint Foil","1"
"Goblin Matron (Retro Frame)","Dominaria Remastered","C","323","Red","Near Mint Foil","1"
"Rot-Tide Gargantua","Innistrad: Double Feature","C","396","Black","Near Mint Foil","1"
"Vandalblast","Time Spiral: Remastered","S","352","Red","Near Mint Foil","1"
"Cathedral Acolyte (Surge Foil)","Universes Beyond: Fallout","U","603","Green","Near Mint Foil","1"
"Food (0013) // Wasteland Survival Guide Double-Sided Token","Universes Beyond: Fallout","T","13 // 20","Colorless","Near Mint Foil","1"
"Temple of Malady (Extended Art)","Universes Beyond: Fallout","R","520","Colorless","Near Mint Foil","1"
"Fiery Islet (Extended Art) (Surge Foil)","Universes Beyond: Doctor Who","R","1086","Colorless","Near Mint Foil","1"
"Fortified Village (Extended Art) (Surge Foil)","Universes Beyond: Doctor Who","R","1088","Colorless","Near Mint Foil","1"
"Ominous Cemetery","Universes Beyond: Doctor Who","U","189","Colorless","Near Mint Foil","2"
"Vrestin, Menoptra Leader","Universes Beyond: Doctor Who","R","166","Green;White","Near Mint Foil","1"
"Arwen Undomiel","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","194","Blue;Green","Near Mint Foil","1"
"Bill the Pony","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","3","White","Near Mint Foil","3"
"Eomer, Marshal of Rohan","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","120","Red","Near Mint Foil","2"
"Eomer, Marshal of Rohan (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","428","Red","Near Mint Foil","1"
"Ioreth of the Healing House","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","56","Blue","Near Mint Foil","1"
"Island (0274)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","L","274","Colorless","Near Mint Foil","2"
"Mauhur, Uruk-hai Captain","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","214","Black;Red","Near Mint Foil","3"
"Oliphaunt","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","C","139","Red","Near Mint Foil","2"
"Rising of the Day","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","145","Red","Near Mint Foil","1"
"Shire Terrace","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","C","261","Colorless","Near Mint Foil","1"
"The Grey Havens","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","255","Colorless","Near Mint Foil","1"
"Hormagaunt Horde (Surge Foil)","Universes Beyond: Warhammer 40,000","R","93","Green","Near Mint Foil","1"
"Char","From the Vault: Twenty","M","14","Red","Near Mint Foil","1"
"Forbidden Orchard","From the Vault: Realms","M","6","","Near Mint Foil","1"
"Mountain (40)","Premium Deck Series: Slivers","L","40","Colorless","Near Mint Foil","1"
"Vito, Thorn of the Dusk Rose","30th Anniversary Promos","P","28","Black","Near Mint Foil","2"
"Windfall","30th Anniversary Promos","P","6","Blue","Near Mint Foil","6"
"Elusive Tormentor","Buy-A-Box Promos","P","108","Black","Near Mint Foil","1"
"Noose Constrictor","FNM Promos","P","1","Green","Near Mint Foil","1"
"Endless Ranks of the Dead","Prerelease Cards","R","535","Black","Near Mint Foil","1"
"Eomer, Marshal of Rohan","Prerelease Cards","R","120","Red","Near Mint Foil","1"
"Breach the Multiverse","Promo Pack: March of the Machine","R","94","Black","Near Mint Foil","1"
"Drana and Linvala","Promo Pack: March of the Machine","R","222","Black;White","Near Mint Foil","1"
"Experimental Augury","Promo Pack: Phyrexia: All Will Be One","P","278","Blue","Near Mint Foil","2"
"Boseiju, Who Endures","Promo Pack: Kamigawa: Neon Dynasty","R","266","","Near Mint Foil","1"
"Jukai Naturalist","Promo Pack: Kamigawa: Neon Dynasty","U","510","Green;White","Near Mint Foil","1"
"Collective Brutality","Secret Lair Drop Series","R","1085","Black","Near Mint Foil","1"
"Mountain (566)","Secret Lair Drop Series","L","566","Colorless","Near Mint Foil","1"
"Plains (393)","Secret Lair Drop Series","R","393","Colorless","Near Mint Foil","1"
"Snow-Covered Island (2)","Secret Lair Drop Series","R","2","Colorless","Near Mint Foil","1"
"Stardrake - Scourge of the Throne (Borderless)","Secret Lair Drop Series","M","1033","Red","Near Mint Foil","1"
"Swamp (561)","Secret Lair Drop Series","P","561","Colorless","Near Mint Foil","1"
"Vengevine","Secret Lair Drop Series","M","1078","Green","Near Mint Foil","1"
"Wastes (704) - Full Art","Secret Lair Drop Series","R","704","Colorless","Near Mint Foil","1"
"Wastes (706) - Full Art","Secret Lair Drop Series","R","706","Colorless","Near Mint Foil","1"
"Kalamax, the Stormsire (Borderless)","Special Guests","M","13","Blue;Green;Red","Near Mint Foil","1"
"Cultivate (Bring-a-Friend Promo)","Unique and Miscellaneous Promos","P","1","Green","Near Mint Foil","1"
"Gala Greeters (English)","Unique and Miscellaneous Promos","R","450","Green","Near Mint Foil","1"
"Reliquary Tower (Bring a Friend Promo)","Unique and Miscellaneous Promos","P","1","Colorless","Near Mint Foil","1"
"Beast Within (Phyrexian)","WPN & Gateway Promos","P","1","Green","Near Mint Foil","3"
"Conjurer's Closet","WPN & Gateway Promos","R","1","Colorless","Near Mint Foil","3"
"Dismember (Phyrexian)","WPN & Gateway Promos","P","1","Black","Near Mint Foil","2"
"Syr Konrad, the Grim (Retro Frame)","WPN & Gateway Promos","P","1","Black","Near Mint Foil","3"
"Rivaz of the Claw","Dominaria United","R","215","Black;Red","Lightly Played Foil","1"
"Critical Hit","Adventures in the Forgotten Realms","U","137","Red","Lightly Played Foil","1"
"You Find Some Prisoners","Adventures in the Forgotten Realms","U","169","Red","Lightly Played Foil","1"
"Prison Realm","War of the Spark","U","26","White","Lightly Played Foil","1"
"Quicksmith Genius","Kaladesh","U","125","Red","Lightly Played Foil","1"
"Grip of Desolation","Battle for Zendikar","U","94","Colorless","Lightly Played Foil","1"
"Mountain (263)","Magic 2015 (M15)","L","263","","Lightly Played Foil","1"
"Biomass Mutation","Gatecrash","R","213","Blue;Green","Lightly Played Foil","1"
"Burst of Strength","Gatecrash","C","115","Green","Lightly Played Foil","1"
"Truefire Paladin","Gatecrash","U","202","Red;White","Lightly Played Foil","1"
"Slayers' Stronghold","Avacyn Restored","R","229","Colorless","Lightly Played Foil","1"
"Memnite","Scars of Mirrodin","U","174","Colorless","Lightly Played Foil","1"
"Barony Vampire","Magic 2011 (M11)","C","82","Black","Lightly Played Foil","1"
"Dawnray Archer","Shards of Alara","U","39","Blue","Lightly Played Foil","1"
"Clock of DOOOOOOOOOOOOM!","Unstable","U","142","Colorless","Lightly Played Foil","1"
"Pact Weapon","Commander Legends: Battle for Baldur's Gate","M","139","Black","Lightly Played Foil","1"
"Blood Moon","Modern Masters 2017","R","90","Red","Lightly Played Foil","1"
"Goldberry, River-Daughter","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","52","Blue","Lightly Played Foil","1"
"Gix's Command","Prerelease Cards","R","97","Black","Lightly Played Foil","1"
"Mishra, Tamer of Mak Fawa","Prerelease Cards","R","217","Black;Red","Lightly Played Foil","1"
"Lunar Avenger","Fifth Dawn","U","136","Colorless","Moderately Played Foil","1"
